run_dir,task_id,occurrence,call_seq,note_rank,note_id,similarity,via,note_text_snippet,source_repository,note_timestamp
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,2,1,bc974ad8-7249-4af6-90cb-050e52046d0f,66.91023,match,"SimpleLogin background jobs: cron.py runs scheduled tasks via command-line flags (-j): stats, notify_trial_end, notify_manual_subscription_end, notify_premium_end, delete_logs, delete_old_data, poll_apple_subscription, sanity_check, delete_old_monitoring, check_custom_domain, check_hibp, notify_hibp",simple-login/app,2026-09-06T14:27:34.320Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,2,2,0df40c30-0ba8-463c-8aeb-c12e30aa58cf,59.629034999999995,match,"SimpleLogin configuration loading: `app/config.py` loads first. It reads optional .env file (via dotenv), then requires env vars URL, EMAIL_DOMAIN, SUPPORT_EMAIL, DB_URI, FLASK_SECRET. Prints "">>> URL: ..."" and "">>> init logging <<<"" to stdout. COLOR_LOG env var enables colored logs via coloredlogs.",simple-login/app,2026-09-06T14:25:17.586Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,2,3,2c524f41-1a54-46f5-b762-a4583711b8b0,56.5046,match,"SimpleLogin startup: In dev mode, `python server.py` calls `local_main()` which sets config.COLOR_LOG=True, creates Flask app via `create_app()`, enables debug mode + flask-debugtoolbar, and runs on port 7777 with `app.run(debug=True, port=7777)`. In production, gunicorn serves wsgi:app on port 7777",simple-login/app,2026-09-06T14:24:45.073Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,2,4,17c478e5-b9a7-4f3a-a5af-94b151c0fab4,57.436350000000004,match,"SimpleLogin authentication: Web login is at `/auth/login` (GET/POST) - validates email+password against User.get_by(), checks disabled/deleted/activated status, calls `login_user()` via flask_login, sets session[""sudo_time""]. Session cookie is ""slapp"", valid 7 days. API auth is at `/api/auth/login` ",simple-login/app,2026-09-06T14:25:57.022Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,2,5,459ce52f-f244-4683-8429-0950ae340760,57.53833,match,"SimpleLogin request flow: Entry point is `server.py` create_app(). Routes: / (index) redirects to dashboard or auth/login. Blueprints: /auth/* (login/logout/MFA), /dashboard/* (main UI), /api/* (API), /oauth/* and /oauth2/*, /internal/*, /developer/*, /phone/*, /discover/*, /.well-known/* (OpenID), ",simple-login/app,2026-09-06T14:26:34.359Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,2,6,e8a36cc7-1929-459d-97bc-5f7eb7153956,56.03298,link,"SimpleLogin ports/endpoints: Web dashboard on port 7777 (dev: http://localhost:7777, prod: gunicorn). Health check at GET /health (returns 200 ""success""). Email handler SMTP on port 20381 (aiosmtpd). No other ports exposed. Static files served at /static/*, favicon at /favicon.ico. OpenID metadata a",simple-login/app,2026-09-06T14:27:59.449Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a5,2,1,1,17c478e5-b9a7-4f3a-a5af-94b151c0fab4,46.147674,match,"SimpleLogin authentication: Web login is at `/auth/login` (GET/POST) - validates email+password against User.get_by(), checks disabled/deleted/activated status, calls `login_user()` via flask_login, sets session[""sudo_time""]. Session cookie is ""slapp"", valid 7 days. API auth is at `/api/auth/login` ",simple-login/app,2026-09-06T14:25:57.022Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a5,2,1,2,bc974ad8-7249-4af6-90cb-050e52046d0f,37.710786,match,"SimpleLogin background jobs: cron.py runs scheduled tasks via command-line flags (-j): stats, notify_trial_end, notify_manual_subscription_end, notify_premium_end, delete_logs, delete_old_data, poll_apple_subscription, sanity_check, delete_old_monitoring, check_custom_domain, check_hibp, notify_hibp",simple-login/app,2026-09-06T14:27:34.320Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a5,2,1,3,2c524f41-1a54-46f5-b762-a4583711b8b0,36.22808,match,"SimpleLogin startup: In dev mode, `python server.py` calls `local_main()` which sets config.COLOR_LOG=True, creates Flask app via `create_app()`, enables debug mode + flask-debugtoolbar, and runs on port 7777 with `app.run(debug=True, port=7777)`. In production, gunicorn serves wsgi:app on port 7777",simple-login/app,2026-09-06T14:24:45.073Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a5,2,1,4,e8a36cc7-1929-459d-97bc-5f7eb7153956,36.0217,match,"SimpleLogin ports/endpoints: Web dashboard on port 7777 (dev: http://localhost:7777, prod: gunicorn). Health check at GET /health (returns 200 ""success""). Email handler SMTP on port 20381 (aiosmtpd). No other ports exposed. Static files served at /static/*, favicon at /favicon.ico. OpenID metadata a",simple-login/app,2026-09-06T14:27:59.449Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a5,2,1,5,459ce52f-f244-4683-8429-0950ae340760,36.006767,match,"SimpleLogin request flow: Entry point is `server.py` create_app(). Routes: / (index) redirects to dashboard or auth/login. Blueprints: /auth/* (login/logout/MFA), /dashboard/* (main UI), /api/* (API), /oauth/* and /oauth2/*, /internal/*, /developer/*, /phone/*, /discover/*, /.well-known/* (OpenID), ",simple-login/app,2026-09-06T14:26:34.359Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9a5,2,1,6,0df40c30-0ba8-463c-8aeb-c12e30aa58cf,32.913804,link,"SimpleLogin configuration loading: `app/config.py` loads first. It reads optional .env file (via dotenv), then requires env vars URL, EMAIL_DOMAIN, SUPPORT_EMAIL, DB_URI, FLASK_SECRET. Prints "">>> URL: ..."" and "">>> init logging <<<"" to stdout. COLOR_LOG env var enables colored logs via coloredlogs.",simple-login/app,2026-09-06T14:25:17.586Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9d2,18,1,1,473b564e-7af5-42f4-a080-c585b8a43b3f,63.135564,match,"Paperless-NGX search index architecture:
- Uses Whoosh (pure Python) for search indexing, not Elasticsearch. Index stored in DATA_DIR/index/
- API document UPDATE is synchronous: DocumentViewSet.update() calls index.add_or_update_document() directly in the request thread before returning. Changes ar",paperless-ngx/paperless-ngx,2026-09-06T21:41:06.774Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9d2,18,1,2,6895ba9b-89a4-41e4-b4ba-64bf2b5bb430,62.67832,match,"Paperless-NGX repo at /app. Top-level structure: src/ (Python backend), src-ui/ (frontend), docs/, docker/, scripts/. Search index sync is central to the system - uses Elasticsearch/OpenSearch for search indexing with Celery workers for async tasks.",paperless-ngx/paperless-ngx,2026-09-06T21:33:07.994Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9d3,19,1,1,6895ba9b-89a4-41e4-b4ba-64bf2b5bb430,63.358115999999995,match,"Paperless-NGX repo is located at /app with a top-level structure containing src/ (Python backend), src-ui/ (frontend), docs/, docker/, and scripts/. The system's central search index mechanism uses Whoosh (pure Python) for indexing, with the index stored in DATA_DIR/index/. Unlike the generic 'Djang",paperless-ngx/paperless-ngx,2026-09-06T21:33:07.994Z
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,task-6905333b74f22949d97ba9d3,19,2,1,6895ba9b-89a4-41e4-b4ba-64bf2b5bb430,31.395003,match,"Paperless-NGX repo is located at /app with a top-level structure containing src/ (Python backend), src-ui/ (frontend), docs/, docker/, and scripts/. The system's central search index mechanism uses Whoosh (pure Python) for indexing, with the index stored in DATA_DIR/index/. Unlike the generic 'Djang",paperless-ngx/paperless-ngx,2026-09-06T21:33:07.994Z
20260907T013422.077067776Z-openclaw-sweatlasqa-pilot30-shuffle1-amem-repo-sglang,task-6905333b74f22949d97ba9ac,1,2,1,466f88e2-fec9-4d5f-a531-7c2726d2c53c,65.716946,match,"SimpleLogin email forward flow: email_handler.handle() routes to handle_forward() for alias recipients. When alias exists, forward_email_to_mailbox() creates EmailLog with original Message-ID, generates reply_email (reverse-alias) via Contact.new_addr() which formats as ""name - email at domain <repl",simple-login/app,2026-09-07T02:20:06.604Z
20260907T013422.077067776Z-openclaw-sweatlasqa-pilot30-shuffle1-amem-repo-sglang,task-6905333b74f22949d97ba9ae,2,1,1,466f88e2-fec9-4d5f-a531-7c2726d2c53c,65.337056,match,"SimpleLogin email forward flow: email_handler.handle() routes to handle_forward() for alias recipients. When alias exists, forward_email_to_mailbox() creates EmailLog with original Message-ID, generates reply_email (reverse-alias) via Contact.new_addr() which formats as ""name - email at domain <repl",simple-login/app,2026-09-07T02:20:06.604Z
20260907T013422.077067776Z-openclaw-sweatlasqa-pilot30-shuffle1-amem-repo-sglang,task-6905333b74f22949d97ba9ae,2,2,1,466f88e2-fec9-4d5f-a531-7c2726d2c53c,70.29401,match,"SimpleLogin email forward flow: email_handler.handle() routes to handle_forward() for alias recipients. When alias exists, forward_email_to_mailbox() creates EmailLog with original Message-ID, generates reply_email (reverse-alias) via Contact.new_addr() which formats as ""name - email at domain <repl",simple-login/app,2026-09-07T02:20:06.604Z
